source,country,label,bias,factuality,questionable-source,conspiracy-pseudoscience,pro-science
21stcenturywire,USA,1,conspiracy-pseudoscience,2,0,1,0
369news,Unknown,1,conspiracy-pseudoscience,2,0,1,0
911truthorg,USA,1,conspiracy-pseudoscience,1,0,1,0
abcnews,USA,0,left-center,4,0,0,0
acnlatitudes,USA,1,conspiracy-pseudoscience,2,0,1,0
activistpost,Unknown,1,conspiracy-pseudoscience,1,0,1,0
adweek,USA,0,center,4,0,0,0
adwnews,,1,conspiracy-pseudoscience,1,0,1,0
ageofautism,USA,1,conspiracy-pseudoscience,1,0,1,0
airwars,,0,center,4,0,0,0
aljazeera,Qatar,2,left-center,2,0,0,0
allianceadvancedhealth,,1,conspiracy-pseudoscience,2,0,1,0
allianceforadvancedhealth,,1,conspiracy-pseudoscience,2,0,1,0
alliancefornaturalhealth,USA,1,conspiracy-pseudoscience,2,0,1,0
alternativemediatelevisionamtv,,1,conspiracy-pseudoscience,1,0,1,0
alternet,USA,2,left,2,0,0,0
althealthworks,USA,1,conspiracy-pseudoscience,1,0,1,0
americablog,USA,0,left,4,0,0,0
americandigitalnews,,1,conspiracy-pseudoscience,2,0,1,0
americanintelligencemedia,,1,conspiracy-pseudoscience,2,0,1,0
ancientcode,Unknown,1,conspiracy-pseudoscience,2,0,1,0
anonymous,Unknown,1,questionable-source,2,1,0,0
asiapacificresearch,,1,conspiracy-pseudoscience,2,0,1,0
australiannationalreview,,1,conspiracy-pseudoscience,1,0,1,0
autisminvestigated,USA,1,conspiracy-pseudoscience,1,0,1,0
awarenessact,Unknown,1,conspiracy-pseudoscience,1,0,1,0
bbc,UnitedKingdom,0,left-center,4,0,0,0
bearingarms,USA,2,right,2,0,0,0
beholdisrael,Israel,1,conspiracy-pseudoscience,2,0,1,0
bigleaguepolitics,USA,1,questionable-source,1,1,0,0
bipartisanreport,USA,1,questionable-source,2,1,0,0
birminghammail,UnitedKingdom,0,left-center,3,0,0,0
bongino,USA,1,questionable-source,2,1,0,0
breaking911,Unknown,1,questionable-source,0,1,0,0
breitbart,USA,1,questionable-source,2,1,0,0
brightside,Cyprus,1,conspiracy-pseudoscience,2,0,1,0
businessinsider,USA,0,left-center,4,0,0,0
buzzfeed,USA,2,left-center,2,0,0,0
campusreform,USA,2,right,2,0,0,0
cbsnews,USA,0,left-center,4,0,0,0
channel4newsuk,UnitedKingdom,0,left-center,4,0,0,0
charlotteobserver,USA,0,left-center,4,0,0,0
chicagosuntimes,USA,0,left-center,4,0,0,0
chicagotribune,USA,0,right-center,4,0,0,0
citizenfreepress,USA,2,right,2,0,0,0
clashdaily,USA,1,questionable-source,1,1,0,0
climatechangedispatch,USA,1,conspiracy-pseudoscience,1,0,1,0
climatedepot,USA,1,conspiracy-pseudoscience,2,0,1,0
climateetc,,1,conspiracy-pseudoscience,2,0,1,0
climatism,Australia,1,conspiracy-pseudoscience,1,0,1,0
cnbc,USA,0,left-center,3,0,0,0
cnet,USA,0,center,4,0,0,0
cnn,USA,2,left,2,0,0,0
collectiveevolution,USA,1,conspiracy-pseudoscience,1,0,1,0
committeeconstructivetomorrowcfactorg,USA,1,conspiracy-pseudoscience,1,0,1,0
consciouslifenews,USA,1,conspiracy-pseudoscience,2,0,1,0
conspiracydailyupdate,,1,conspiracy-pseudoscience,1,0,1,0
cosmicintelligenceagency,,1,conspiracy-pseudoscience,1,0,1,0
courthousenewsservice,USA,0,center,4,0,0,0
covertgeopolitics,USA,1,conspiracy-pseudoscience,2,0,1,0
crikey,Australia,0,left,4,0,0,0
crooksandliars,USA,0,left,3,0,0,0
csglobe,Unknown,1,conspiracy-pseudoscience,1,0,1,0
curiousmindmagazine,,1,conspiracy-pseudoscience,1,0,1,0
dailybeast,USA,0,left,3,0,0,0
