source,factuality_old,pro-science,display_name,country,website,category,labels.bias,labels.factuality,media_type,labels.conspiracy,labels.pseudoscience
21stcenturywire,2.0,0,21st Century Wire,USA (45/180 Press Freedom),https://21stcenturywire.com/,conspiracy,,2.0,Website,3.0,3.0
369news,2.0,0,369News,Unknown,https://369news.net/,conspiracy,,2.0,Website,4.0,4.0
911truth,1.0,0,911Truth.org - Media Bias/Fact Check,USA (45/180 Press Freedom),https://911truth.org/,conspiracy,,1.0,Website,5.0,1.0
abcnews,4.0,0,ABC News,USA (45/180 Press Freedom),https://abcnews.go.com,leftcenter,leftcenter,4.0,TV Station,,
acnlatitudes,2.0,0,ACN Latitudes,USA (45/180 Press Freedom),https://latitudes.org/,conspiracy,,2.0,Organization/Foundation,1.0,5.0
activistpost,1.0,0,Activist Post,Unknown,https://www.activistpost.com/,conspiracy,,1.0,Website,4.0,3.0
adweek,4.0,0,Adweek,USA (45/180 Press Freedom),https://www.adweek.com/,center,,4.0,Magazine,,
adwnews,1.0,0,,,,,,,,,
ageofautism,1.0,0,Age of Autism,USA (45/180 Press Freedom),https://www.ageofautism.com,conspiracy,,1.0,Organization/Foundation,1.0,5.0
airwars,4.0,0,Airwars,United Kingdom (33/180 Press Freedom),https://airwars.org/,center,,4.0,Organization/Foundation,,
aljazeera,2.0,0,Al Jazeera,Qatar (125/180 Press Freedom),https://www.aljazeera.com/,leftcenter,leftcenter,2.0,TV Station,,
allianceadvancedhealth,2.0,0,,,,,,,,,
allianceforadvancedhealth,2.0,0,Alliance for Advanced Health,,https://allianceforadvancedhealth.com,conspiracy,,2.0,,4.0,5.0
alliancefornaturalhealth,2.0,0,Alliance for Natural Health (ANH-USA),USA,https://anh-usa.org,conspiracy,,2.0,,4.0,4.0
alternativemediatelevisionamtv,1.0,0,Alternative Media Television (AMTV),USA (45/180 Press Freedom),https://www.amtvmedia.com/,conspiracy,,1.0,Website,4.0,4.0
alternet,2.0,0,AlterNet,USA (45/180 Press Freedom),https://www.alternet.org/,left,left,2.0,Website,,
althealthworks,1.0,0,AltHealth Works,USA,https://althealthworks.com/,conspiracy,,1.0,,3.0,5.0
americablog,4.0,0,AmericaBlog,USA,http://americablog.com/,left,left,4.0,,,
americandigitalnews,2.0,0,American Digital News,,https://americandigitalnews.com,conspiracy,,2.0,,5.0,3.0
americanintelligencemedia,2.0,0,American Intelligence Media,USA (44/180 Press Freedom),https://aim4truth.org,conspiracy,,0.0,Website Station,5.0,5.0
ancientcode,2.0,0,Ancient Code,Unknown,https://www.ancient-code.com,conspiracy,,2.0,,3.0,5.0
anonymous,2.0,0,,,,,,,,,
asiapacificresearch,2.0,0,Asia-Pacific Research,Canada (14/180 Press Freedom),https://www.asia-pacificresearch.com/,conspiracy,,2.0,Website,3.0,2.0
australiannationalreview,1.0,0,Australian National Review,Australia (25/180 Press Freedom),https://australiannationalreview.com/,conspiracy,,1.0,Website,4.0,4.0
autisminvestigated,1.0,0,Autism Investigated,USA,https://www.autisminvestigated.com/,conspiracy,,1.0,,4.0,5.0
awarenessact,1.0,0,Awareness Act,Unknown,http://awarenessact.com/,conspiracy,,1.0,,5.0,5.0
bbc,4.0,0,BBC,United Kingdom (33/180 Press Freedom),https://www.bbc.com/news,leftcenter,leftcenter,4.0,TV Station,,
bearingarms,2.0,0,Bearing Arms,USA,https://bearingarms.com/,right,right,2.0,,,
beholdisrael,2.0,0,Behold Israel,Israel,https://beholdisrael.org/,conspiracy,,2.0,,4.0,3.0
bigleaguepolitics,1.0,0,Big League Politics,USA,https://bigleaguepolitics.com/,questionable-source,extremeright,1.0,,,
bipartisanreport,2.0,0,Bipartisan Report,USA (44/180 Press Freedom),https://bipartisanreport.com,questionable-source,extremeleft,2.0,Website,,
birminghammail,3.0,0,Birmingham Mail,United Kingdom,https://www.birminghammail.co.uk,leftcenter,leftcenter,3.0,,,
bongino,2.0,0,Bongino.com - Media Bias/Fact Check,USA (45/180 Press Freedom),https://bongino.com,questionable-source,right,2.0,Website,,
breaking911,0.0,0,Breaking911,Unknown,http://breaking911.com,questionable-source,,0.0,Website,,
breitbart,2.0,0,Breitbart,USA (45/180 Press Freedom),https://www.breitbart.com/,questionable-source,extremeright,2.0,Website,,
brightside,2.0,0,BrightSide,Cyprus,https://brightside.me/,conspiracy,,2.0,,1.0,2.0
businessinsider,4.0,0,Business Insider,USA (45/180 Press Freedom),http://www.businessinsider.com/,leftcenter,leftcenter,4.0,Website,,
buzzfeed,2.0,0,Buzzfeed,USA (45/180 Press Freedom),https://www.buzzfeed.com/,leftcenter,leftcenter,2.0,Website,,
campusreform,2.0,0,Campus Reform,USA,https://www.campusreform.org,right,right,2.0,,,
cbsnews,4.0,0,CBS News,USA (45/180 Press Freedom),https://www.cbsnews.com,leftcenter,leftcenter,4.0,TV Station,,
channel4newsuk,4.0,0,Channel 4 News (UK),United Kingdom (34/180 Press Freedom),https://www.channel4.com/news/,leftcenter,leftcenter,4.0,TV Station,,
charlotteobserver,4.0,0,Charlotte Observer,USA,https://www.charlotteobserver.com,leftcenter,leftcenter,4.0,,,
chicagosuntimes,4.0,0,Chicago Sun-Times,USA (44/180 Press Freedom),https://chicago.suntimes.com/,leftcenter,leftcenter,4.0,Newspaper,,
