old,new
theguardianuk,theguardian
eveningstandard,londoneveningstandard
sputnik,sputniknews
thetelegraph,telegraph
bbcuk,bbc
thenewyorktimes,newyorktimes
thedailyrecord,dailyrecord
theseattletimes,seattletimes
sottnet,signsofthetimessott
thedailymirror,dailymirror
themanchestereveningnews,manchestereveningnews
thehuffingtonpost,huffingtonpost
thetorontostar,torontostar
jerusalempost,thejerusalempost
thedailycaller,dailycaller
thedailyecho,dailyecho
thedenverpost,denverpost
thehuffingtonpostuk,huffingtonpost
huffpost,huffingtonpost
chicagosun-times,chicagosuntimes
thepoliticalinsider,politicalinsider
rt,rtnews
themoscowtimes,moscowtimes
channel4uk,channel4news
pinknewsuk,pinknews
buzzfeednews,buzzfeed
collective-evolution,collectiveevolution
dailyheraldchicago,dailyherald
powerlineblog,powerline
russia-insider,russiainsider
thewakingtimes,wakingtimes
thewashingtonexaminer,washingtonexaminer
wnd,worldnetdailywnd
fivethirthyeight,fivethirtyeight
alliancefornaturalhealthbiasjunkscience,alliancefornaturalhealth
bonginoreport,bongino
dailywire,thedailywire
djhj,djhjmedia
freebeacon,washingtonfreebeacon
latimes,latimeslosangelestimes
mercurynews,sanjosemercurynews
nationalobservercanada,nationalobserver
pamellagellerreport,gellerreport
pravadareport,pravdareport
therealnews,realnewsnetwork
alternativemediatv,alternativemediatelevisionamtv
oneamericanewsnetwork(oan),oann
911truthorg,911truth
newsmaxbiasandcredibility,newsmax
nutritionfacts,nutritionfactsorg
pbsnews,pbs
pbsnewshour,pbs
rtnews(rt,rtnews
signsofthetimes(sott),signsofthetimessott
henrymakow(savethemales,savethemales
thegreanvillepost,thegreanvillepostbiasrating
channel4news(uk),channel4newsuk
cnnbias,cnn
infowarsalexjones,infowars
committeeforaconstructivetomorrow(cfact),committeeconstructivetomorrowcfactorg
doctoroz,doctorozcom
freedomainstephenmolyneux,freedomainradio
haarp,haarpnet
huffingtonpost(huffpost),huffingtonpost
junkscience,junksciencecom
learntheriskorg,learntherisk
newsinsideout,newsinsideoutcom
oye,oyenews
peta(peoplefortheethicaltreatmentofanimals),petapeoplefortheethicaltreatmentofanimals
radiofreeeuroperadioliberty,rferl
russiannewsagencytass,tass
thelastrefuge(conservativetreehouse),theconservativetreehouse
theindependentuk,theindependent
unitedpressinternational(upi),upi
usawatchdog,usawatchdogcom
worldnetdaily(wnd),worldnetdailywnd
usnewsworldreport,usnews
nationalobserver(canada),nationalobserver
environmentalworkinggroup(ewg),environmentalworkinggroupewg
principiascientificinternational(psi),principiascientificinternational
alliancefornaturalhealth(anhusa),alliancefornaturalhealth
alternativemediatelevision(amtv),alternativemediatelevisionamtv
