source,cluster
needtoknow,0
thoughtcrimeradio,0
humansarefree,0
worldtruthtv,0
prepareforchange,0
davidicke,0
newswars,0
collectiveevolution,0
thedcclothesline,0
stillnessinthestorm,0
thelibertybeacon,0
healthimpactnews,0
southfront,0
activistpost,0
summitnews,0
thewashingtonstandard,0
sgtreport,0
newspunch,0
nationalfile,0
australiannationalreview,0
wakingtimes,0
revolutionradio,0
globalresearch,0
noqreport,0
lifesitenews,0
shtfplan,0
principiascientificinternational,0
infowars,0
signsofthetimessott,0
prisonplanet,0
vigilantcitizen,1
notrickszone,1
awarenessact,1
foreverconscious,1
oyenews,1
haarpnet,1
usawatchdogcom,1
trueactivist,1
sanevax,1
fellowshipoftheminds,1
allianceadvancedhealth,1
prntly,1
lifespa,1
thecorbettreport,1
newsinsideoutcom,1
savethemales,1
getholistichealth,1
escapeallthesethings,1
thedailyconspiracy,1
jesusdaily,1
thesmokinggun,1
returntonow,1
mercola,1
althealthworks,1
geoengineeringwatch,1
realclimatescience,1
curiousmindmagazine,1
gulagbound,1
cosmicintelligenceagency,1
healthsciencesinstitute,1
thinkingmomsrevolution,1
newamericannews,1
junksciencecom,1
personalliberty,1
healthyholisticliving,1
slate,2
dailyherald,2
birminghammail,2
npr,2
newsweek,2
vox,2
ipolitics,2
mcclatchydc,2
nationalobserver,2
conservativehome,2
seattletimes,2
hotair,2
charlotteobserver,2
theirishtimes,2
foreignpolicy,2
denverpost,2
sputniknews,2
cbsnews,2
upi,2
usnews,2
nationalreview,2
politico,2
washingtonpost,2
theintercept,2
sanjosemercurynews,2
oann,2
channel4newsuk,3
theamericanconservative,3
rollcall,3
chicagotribune,4
washingtonmonthly,5
fivethirtyeight,5
theatlantic,5
shoebat,5
iceagenow,6
