source,stance_triplets,content-sharing+shift+stance+jargon,content-sharing+shift+stance,semantic,jargon,shift,copy+shift,copy,content-sharing,copy+shift+stance+jargon,jargon_triplets,copy+shift+stance,stance,class,labels.bias,labels.factuality
activistpost,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
ageofautism,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
australiannationalreview,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
bbc,0.0,0,0,0.0,0.0,0.0,0,1.0,1.0,0,0.0,0,0.0,0.0,leftcenter,4.0
businessinsider,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,leftcenter,4.0
climatism,0.0,0,1,0.0,,0.0,0,0.0,0.0,0,,0,0.0,1.0,,1.0
collectiveevolution,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
crooksandliars,0.0,0,0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,left,3.0
dailymail,0.0,1,1,1.0,,1.0,1,1.0,1.0,1,,1,0.0,1.0,right,1.0
dailysignal,0.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,0.0,0.0,right,3.0
davidicke,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,0.0
fivethirtyeight,0.0,1,1,1.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,leftcenter,4.0
freethoughtproject,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
globalresearch,0.0,0,0,1.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
greenmedinfo,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,,0,0.0,1.0,,1.0
healingoracle,0.0,0,0,0.0,,0.0,0,0.0,0.0,0,,0,0.0,1.0,,0.0
healthimpactnews,0.0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,0.0
humansarefree,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
iowaclimatescienceeducation,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0,0.0,1.0,,1.0
livescience,0.0,0,0,1.0,0.0,1.0,0,0.0,0.0,0,0.0,0,0.0,0.0,,4.0
motherjones,1.0,0,0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0,1.0,0.0,leftcenter,4.0
nationalfile,0.0,0,0,0.0,,0.0,1,0.0,0.0,0,0.0,0,0.0,1.0,,1.0
nationalinterest,0.0,0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,rightcenter,4.0
