,cluster,term,label_,term_count,term_source_freq
0,0,Instagram,ORG,1,0.034482758620689655
1,0,iPhone,ORG,1,0.034482758620689655
2,0,Lockdowns Around The World,ORG,1,0.034482758620689655
3,0,CDC,ORG,23,0.41379310344827586
4,0,Lawless Ban,WORK_OF_ART,1,0.034482758620689655
5,0,Constitution,LAW,2,0.06896551724137931
6,0,Nancy Pelosi Busted Sneaking,PERSON,1,0.034482758620689655
7,0,Coronavirus,ORG,5,0.1724137931034483
8,0,Trump,ORG,10,0.1724137931034483
9,0,Biden,PERSON,14,0.3793103448275862
10,0,the ‘HHS Accountability Project’,ORG,1,0.034482758620689655
11,0,Fauci,PERSON,16,0.3448275862068966
12,0,Ron Paul,PERSON,2,0.06896551724137931
13,0,Socialism,NORP,1,0.034482758620689655
14,0,Texas,GPE,5,0.1724137931034483
15,0,zero,CARDINAL,1,0.034482758620689655
16,0,2 months,DATE,1,0.034482758620689655
17,0,NASA,ORG,1,0.034482758620689655
18,0,Vatican,GPE,3,0.06896551724137931
19,0,China,GPE,21,0.3448275862068966
20,0,Chinese,NORP,7,0.13793103448275862
21,0,Catholics,NORP,3,0.034482758620689655
22,0,82-Year-Old COVID Patient Beat to Death,DATE,1,0.034482758620689655
23,0,Oxygen Tank,ORG,1,0.034482758620689655
24,0,37-Year-Old Roommate for Praying,DATE,1,0.034482758620689655
25,0,Kroger Not Requiring Employees to Get COVID Vaccine,ORG,1,0.034482758620689655
26,0,100,MONEY,3,0.10344827586206896
27,0,Six-Week Shuttering,DATE,1,0.034482758620689655
28,0,Australian Small Businesses Beg,ORG,1,0.034482758620689655
29,0,Bolivia,GPE,1,0.034482758620689655
30,0,US Commission,ORG,1,0.034482758620689655
31,0,Google,ORG,1,0.034482758620689655
32,0,Facebook & Other Tech Giants Met With WHO To Discuss Tackling The Spread Of Coronavirus ‘Fake News,ORG,1,0.034482758620689655
33,0,Pelosi,PERSON,4,0.13793103448275862
34,0,Global Capitalism,ORG,1,0.034482758620689655
35,0,World Government,WORK_OF_ART,1,0.034482758620689655
36,0,the Corona Crisis,LAW,1,0.034482758620689655
37,0,Republicans,NORP,6,0.10344827586206896
38,0,the NY Times,ORG,1,0.034482758620689655
39,0,Cuomo,PERSON,3,0.10344827586206896
40,0,Mo Brooks,PERSON,1,0.034482758620689655
41,0,The Tab For America’s Financial Coronavirus Losses,ORG,1,0.034482758620689655
42,0,Kobach,PERSON,1,0.034482758620689655
43,0,Democrats,NORP,5,0.13793103448275862
44,0,Canadian,NORP,8,0.13793103448275862
45,0,2 Months,DATE,1,0.034482758620689655
46,0,5,CARDINAL,5,0.10344827586206896
47,0,Canada,GPE,5,0.13793103448275862
48,0,$800 Million,MONEY,1,0.034482758620689655
49,0,ABE,ORG,1,0.034482758620689655
50,0,CORONAVIRUS,ORG,1,0.034482758620689655
51,0,GLOBE,ORG,1,0.034482758620689655
52,0,KY,GPE,1,0.034482758620689655
53,0,2.5 Million,CARDINAL,1,0.034482758620689655
54,0,New KY Law Preserves Vaccine Exemptions,ORG,1,0.034482758620689655
55,0,This Is No Free Country,WORK_OF_ART,1,0.034482758620689655
56,0,Anti-Lockdown Protests,WORK_OF_ART,1,0.034482758620689655
57,0,London,GPE,4,0.13793103448275862
58,0,Dozens,CARDINAL,1,0.034482758620689655
59,0,Hydroxychloroquine,PERSON,5,0.13793103448275862
60,0,Thousands,CARDINAL,2,0.06896551724137931
61,0,German,NORP,4,0.10344827586206896
62,0,Bill Gates,PERSON,7,0.2413793103448276
63,0,The Days Of Covid 19,EVENT,1,0.034482758620689655
64,0,Maria Bartiromo,PERSON,1,0.034482758620689655
65,0,Communist,NORP,3,0.10344827586206896
66,0,Pfizer,ORG,3,0.06896551724137931
67,0,AstraZeneca,ORG,5,0.1724137931034483
68,0,GlaxoSmithKline,ORG,1,0.034482758620689655
69,0,US,GPE,16,0.3793103448275862
70,0,North America,LOC,1,0.034482758620689655
71,0,Dem,NORP,1,0.034482758620689655
72,0,MSNBC,ORG,3,0.10344827586206896
73,0,2020,DATE,9,0.27586206896551724
74,0,Palestine,GPE,1,0.034482758620689655
75,0,November 2019,DATE,1,0.034482758620689655
76,0,Major Tour Operator,ORG,1,0.034482758620689655
77,0,Germany Set to Detain COVID Rulebreakers,ORG,1,0.034482758620689655
78,0,America,GPE,7,0.20689655172413793
79,0,Plandemic,PERSON,2,0.06896551724137931
80,0,Australia,GPE,4,0.13793103448275862
81,0,New Zealand,GPE,2,0.06896551724137931
82,0,22,CARDINAL,1,0.034482758620689655
83,0,Johnson & Johnson’s,ORG,1,0.034482758620689655
84,0,COVID,ORG,12,0.1724137931034483
85,0,WWIII,ORG,1,0.034482758620689655
86,0,Benjamin Fulford,PERSON,4,0.034482758620689655
87,0,December 7th 2020,DATE,1,0.034482758620689655
88,0,U.S.,GPE,7,0.2413793103448276
89,0,18-month,DATE,1,0.034482758620689655
90,0,YouTube,ORG,3,0.10344827586206896
91,0,Bolsonaro,PERSON,1,0.034482758620689655
92,0,CNN,ORG,3,0.10344827586206896
93,0,Brazil,GPE,3,0.10344827586206896
94,0,Government’s Money Monopoly,ORG,1,0.034482758620689655
95,0,Great Reset,WORK_OF_ART,3,0.10344827586206896
96,0,Andrew Kaufman,PERSON,2,0.06896551724137931
97,0,"The Bill Gates Travel Guide: Identification Tattoos, Mandatory Vaccines and Robot Covid Police",ORG,1,0.034482758620689655
98,0,Global Food Prices Rise As,ORG,1,0.034482758620689655
99,0,Lockdowns Should Continue Into,ORG,1,0.034482758620689655
100,0,2022,DATE,2,0.06896551724137931
101,0,South Korean,NORP,1,0.034482758620689655
102,0,CHINESE,NORP,1,0.034482758620689655
103,0,Just 280 Meters,QUANTITY,1,0.034482758620689655
104,0,Fish Market,ORG,1,0.034482758620689655
105,0,Tucker Carlson,PERSON,3,0.10344827586206896
106,0,COVID-19,PERSON,8,0.2413793103448276
107,0,Bill Gates’,PERSON,1,0.034482758620689655
108,0,Three,CARDINAL,1,0.034482758620689655
109,0,Robert Malone,PERSON,1,0.034482758620689655
