cluster,term,root.lemma_,label_,term_count,term_source_freq
0,woman,woman,NN,2,0.06896551724137931
0,instagram,instagram,NNP,2,0.06896551724137931
0,user,user,NNS,1,0.034482758620689655
0,iphone camera,camera,NN,1,0.034482758620689655
0,9/11,9/11,NNP,1,0.034482758620689655
0,the government ’s answer,answer,NN,1,0.034482758620689655
0,every problem,problem,NN,1,0.034482758620689655
0,more government,government,NN,1,0.034482758620689655
0,more lockdowns,lockdowns,NNPS,1,0.034482758620689655
0,the world,world,NNP,5,0.1724137931034483
0,case surge,surge,NNP,1,0.034482758620689655
0,federal judge strikes,strikes,NNP,1,0.034482758620689655
0,cdc ’s lawless ban,ban,NNP,1,0.034482758620689655
0,the covid-19,covid-19,NN,2,0.06896551724137931
0,pandemic,pandemic,NN,8,0.2413793103448276
0,the constitution,constitution,NNP,2,0.06896551724137931
0,nancy pelosi,pelosi,NNP,1,0.034482758620689655
0,a beauty salon,salon,NNP,1,0.034482758620689655
0,covid,covid,NNP,16,0.3448275862068966
0,a mask,mask,NN,1,0.034482758620689655
0,coronavirus,coronavirus,NNP,35,0.5172413793103449
0,the not - so - brave new world,world,NNP,1,0.034482758620689655
0,pro - life initiative,initiative,NNS,1,0.034482758620689655
0,trump,trump,NNP,21,0.3448275862068966
0,biden admin,admin,NN,2,0.06896551724137931
0,the ' hhs accountability project,project,NNP,1,0.034482758620689655
0,university experiment,experiment,NNS,1,0.034482758620689655
0,aborted baby part,part,NNS,1,0.034482758620689655
0,funding,funding,NN,1,0.034482758620689655
0,fauci,fauci,NNP,5,0.1724137931034483
0,central banking,banking,NNP,1,0.034482758620689655
0,socialism,socialism,NN,1,0.034482758620689655
0,texas,texas,NNP,3,0.10344827586206896
0,zero cov death,death,NNS,1,0.034482758620689655
0,biden,biden,NNP,10,0.3103448275862069
0,governor,governor,NNP,3,0.10344827586206896
0,nasa,nasa,NNP,1,0.034482758620689655
0,the asteroid,asteroid,NNP,1,0.034482758620689655
0,vatican,vatican,NNP,1,0.034482758620689655
0,china deal,deal,NN,1,0.034482758620689655
0,continue report,report,NNS,1,0.034482758620689655
0,persecute chinese catholics,catholics,NNPS,1,0.034482758620689655
0,horrific,horrific,NN,1,0.034482758620689655
0,82 - year - old covid patient beat,beat,NNP,1,0.034482758620689655
0,death,death,NN,13,0.3448275862068966
0,an oxygen tank,tank,NNP,1,0.034482758620689655
0,his 37 - year - old roommate,roommate,NNP,1,0.034482758620689655
0,kroger,kroger,NNP,1,0.034482758620689655
0,employee,employee,NNS,1,0.034482758620689655
0,covid vaccine,vaccine,NNP,11,0.27586206896551724
0,verge,verge,NNP,1,0.034482758620689655
0,six - week shuttering,shuttering,NNP,1,0.034482758620689655
0,australian small business,business,NNS,1,0.034482758620689655
0,another lockdown,lockdown,NNP,1,0.034482758620689655
0,cdc specifications,specifications,NNPS,1,0.034482758620689655
0,man,man,NN,4,0.10344827586206896
0,second moderna dose,dose,NNP,1,0.034482758620689655
0,rare blood clotting disorder,disorder,NN,1,0.034482758620689655
0,the ' vaccine,vaccine,NN,2,0.034482758620689655
0,doctor,doctor,NNS,10,0.20689655172413793
0,flaming hoop,hoop,NNS,1,0.034482758620689655
0,devour short,short,NNS,1,0.034482758620689655
0,silver,silver,NNP,3,0.06896551724137931
0,confrontation,confrontation,NN,1,0.034482758620689655
0,negotiation,negotiation,NNS,1,0.034482758620689655
0,and blockade,blockade,NN,1,0.034482758620689655
0,us commission,commission,NNP,1,0.034482758620689655
0,world,world,NN,3,0.10344827586206896
0,bad religious freedom violator,violator,NNS,1,0.034482758620689655
0,google,google,NNP,4,0.13793103448275862
0,facebook,facebook,NNP,6,0.1724137931034483
0,other tech giants,giants,NNP,1,0.034482758620689655
0,the spread,spread,NN,1,0.034482758620689655
0,' fake news,news,NNP,1,0.034482758620689655
0,insider,insider,NNS,1,0.034482758620689655
0,snap impeachment,impeachment,NN,1,0.034482758620689655
0,pelosi,pelosi,NNP,6,0.20689655172413793
0,imminent declassify bombshell,bombshell,NNS,1,0.034482758620689655
0,global capitalism,capitalism,NN,1,0.034482758620689655
0,""" world government",government,NNP,1,0.034482758620689655
0,the corona crisis,crisis,NNP,1,0.034482758620689655
0,all republicans,republicans,NNPS,1,0.034482758620689655
0,conservative,conservative,NNS,4,0.06896551724137931
0,the ny times,times,NNP,1,0.034482758620689655
0,embattle governor cuomo,cuomo,NNP,1,0.034482758620689655
0,emergency powers,powers,NNPS,1,0.034482758620689655
0,legislative deal,deal,NNP,1,0.034482758620689655
0,elite keeping,keeping,NNP,1,0.034482758620689655
0,border open,open,NN,1,0.034482758620689655
0,more covid lockdowns,lockdowns,NNPS,1,0.034482758620689655
0,mo brooks,brooks,NNP,1,0.034482758620689655
0,china,china,NNP,24,0.4827586206896552
